state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Arunachal Pradesh,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Assam,SC/ST (POA) Act,2,1,1,1,1,4,5,0,5,0,0,0
Bihar,SC/ST (POA) Act,4200,8344,304,4301,7939,17715,25654,138,23105,2411,227,2184
Chhattisgarh,SC/ST (POA) Act,0,2,0,0,2,579,581,0,513,68,24,44
Goa,SC/ST (POA) Act,2,6,0,2,6,5,11,0,11,0,0,0
Gujarat,SC/ST (POA) Act,8,430,1,25,412,7099,7511,0,6541,970,5,965
Haryana,SC/ST (POA) Act,3,11,0,0,14,257,271,0,171,100,11,89
Himachal Pradesh,SC/ST (POA) Act,13,121,0,8,126,460,586,6,490,90,2,88
Jammu & Kashmir,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,SC/ST (POA) Act,163,352,0,137,378,569,947,4,624,319,83,236
Karnataka,SC/ST (POA) Act,645,2967,100,692,2820,7387,10207,11,7862,2334,85,2249
Kerala,SC/ST (POA) Act,25,34,0,31,28,251,279,0,187,92,0,92
Madhya Pradesh,SC/ST (POA) Act,0,12,0,0,12,253,265,6,106,153,60,93
Maharashtra,SC/ST (POA) Act,202,496,5,180,513,3821,4334,0,3875,459,18,441
Manipur,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,SC/ST (POA) Act,285,2065,0,225,2125,5129,7254,0,6253,1001,39,962
Punjab,SC/ST (POA) Act,11,19,0,20,10,157,167,0,139,28,4,24
Rajasthan,SC/ST (POA) Act,0,36,0,0,36,3288,3324,10,3194,120,37,83
Sikkim,SC/ST (POA) Act,0,0,0,0,0,2,2,0,1,1,1,0
Tamil Nadu,SC/ST (POA) Act,991,2716,109,1296,2302,5130,7432,0,5531,1901,146,1755
Tripura,SC/ST (POA) Act,0,0,0,0,0,1,1,0,1,0,0,0
Uttar Pradesh,SC/ST (POA) Act,784,5479,1278,898,4087,19434,23521,25,21238,2258,1216,1042
Uttarakhand,SC/ST (POA) Act,2,18,1,0,19,72,91,0,44,47,11,36
West Bengal,SC/ST (POA) Act,24,59,3,34,46,129,175,0,148,27,0,27
Total (State),SC/ST (POA) Act,8399,24578,1843,9034,22100,74511,96611,225,82815,13571,2048,11523
A&N Islands,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,SC/ST (POA) Act,0,1,0,0,1,3,4,0,3,1,0,1
D&N Haveli,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,SC/ST (POA) Act,11,34,0,2,43,29,72,0,64,8,0,8
Lakshadweep,SC/ST (POA) Act,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,SC/ST (POA) Act,0,6,0,6,0,18,18,0,17,1,0,1
Total (UTs),SC/ST (POA) Act,11,41,0,8,44,50,94,0,84,10,0,10
Total (All-India),SC/ST (POA) Act,8410,24619,1843,9042,22144,74561,96705,225,82899,13581,2048,11533
Andhra Pradesh,Total Crimes against SCs,2710,4251,67,2975,3919,8318,12237,43,8570,3624,347,3277
Arunachal Pradesh,Total Crimes against SCs,0,0,0,0,0,1,1,0,1,0,0,0
Assam,Total Crimes against SCs,57,5,47,13,2,95,97,0,20,77,0,77
Bihar,Total Crimes against SCs,4794,10173,312,5005,9650,22787,32437,155,28719,3563,300,3263
Chhattisgarh,Total Crimes against SCs,5,587,0,50,542,2371,2913,1,2529,383,132,251
Goa,Total Crimes against SCs,7,19,0,14,12,13,25,0,25,0,0,0
Gujarat,Total Crimes against SCs,102,3061,5,175,2983,21741,24724,2,22048,2674,57,2617
Haryana,Total Crimes against SCs,58,724,9,26,747,1155,1902,0,1097,805,84,721
Himachal Pradesh,Total Crimes against SCs,26,208,0,10,224,761,985,15,820,150,13,137
Jammu & Kashmir,Total Crimes against SCs,1,0,0,1,0,20,20,0,17,3,0,3
Jharkhand,Total Crimes against SCs,306,624,0,281,649,1242,1891,6,1313,572,154,418
Karnataka,Total Crimes against SCs,1070,5400,167,1635,4668,14597,19265,107,14507,4651,177,4474
Kerala,Total Crimes against SCs,306,557,13,253,597,2159,2756,0,2425,331,33,298
Madhya Pradesh,Total Crimes against SCs,9,5781,2,55,5733,21939,27672,446,21648,5578,1757,3821
Maharashtra,Total Crimes against SCs,1057,4965,111,1394,4517,21605,26122,6,23922,2194,112,2082
Manipur,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Total Crimes against SCs,395,2996,0,347,3044,9781,12825,0,10791,2034,70,1964
Punjab,Total Crimes against SCs,74,210,11,151,122,511,633,0,467,166,30,136
Rajasthan,Total Crimes against SCs,585,4497,0,590,4492,21607,26099,384,23334,2381,966,1415
Sikkim,Total Crimes against SCs,0,7,0,0,7,6,13,0,3,10,9,1
Tamil Nadu,Total Crimes against SCs,1321,3726,161,1813,3073,7528,10601,0,7974,2627,329,2298
Tripura,Total Crimes against SCs,1,57,0,2,56,39,95,0,61,34,0,34
Uttar Pradesh,Total Crimes against SCs,2743,21836,5663,3728,15188,49201,64389,145,56599,7645,4113,3532
Uttarakhand,Total Crimes against SCs,3,57,1,0,59,170,229,0,140,89,35,54
West Bengal,Total Crimes against SCs,51,200,5,105,141,212,353,0,301,52,0,52
Total (State),Total Crimes against SCs,15681,69941,6574,18623,60425,207859,268284,1310,227331,39643,8718,30925
A&N Islands,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Total Crimes against SCs,0,2,0,0,2,6,8,0,6,2,0,2
D&N Haveli,Total Crimes against SCs,0,0,0,0,0,12,12,0,9,3,0,3
Daman & Diu,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Total Crimes against SCs,11,71,0,12,70,85,155,0,143,12,0,12
Lakshadweep,Total Crimes against SCs,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Total Crimes against SCs,6,36,0,12,30,144,174,0,143,31,1,30
Total (UTs),Total Crimes against SCs,17,109,0,24,102,247,349,0,301,48,1,47
Total (All-India),Total Crimes against SCs,15698,70050,6574,18647,60527,208106,268633,1310,227632,39691,8719,30972
