state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Jharkhand,Counterfeiting,0,0,4,1,8,0,0,0,0,0,12,1,13
Karnataka,Counterfeiting,0,0,36,0,32,0,15,2,3,1,86,3,89
Kerala,Counterfeiting,0,0,21,2,27,1,6,0,4,0,58,3,61
Madhya Pradesh,Counterfeiting,0,0,28,0,19,2,1,0,0,0,48,2,50
Maharashtra,Counterfeiting,9,1,110,4,78,2,15,1,0,1,212,9,221
Manipur,Counterfeiting,0,0,2,0,0,0,0,0,0,0,2,0,2
Meghalaya,Counterfeiting,0,0,9,0,7,0,3,0,0,0,19,0,19
Mizoram,Counterfeiting,0,0,0,0,7,2,0,0,0,0,7,2,9
Nagaland,Counterfeiting,0,0,2,1,4,0,0,0,0,0,6,1,7
Odisha,Counterfeiting,0,0,18,1,15,1,0,0,0,0,33,2,35
Punjab,Counterfeiting,0,0,34,0,33,0,4,0,0,0,71,0,71
Rajasthan,Counterfeiting,0,0,18,0,17,0,4,0,1,0,40,0,40
Sikkim,Counterfeiting,0,0,0,0,1,0,0,0,0,0,1,0,1
Tamil Nadu,Counterfeiting,0,0,33,0,60,2,9,0,0,0,102,2,104
Tripura,Counterfeiting,0,0,23,0,4,0,0,0,0,0,27,0,27
Uttar Pradesh,Counterfeiting,0,0,118,1,68,0,3,0,0,0,189,1,190
Uttarakhand,Counterfeiting,0,0,3,0,24,0,13,1,0,0,40,1,41
West Bengal,Counterfeiting,4,0,211,0,183,0,89,2,1,0,488,2,490
Total (State),Counterfeiting,17,1,1120,20,954,21,239,14,11,2,2341,58,2399
A&N Islands,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Counterfeiting,0,0,2,0,1,0,1,0,0,0,4,0,4
D&N Haveli,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Counterfeiting,0,0,2,0,0,0,0,0,0,0,2,0,2
Delhi UT,Counterfeiting,0,0,27,0,20,1,2,0,0,0,49,1,50
Lakshadweep,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Counterfeiting,0,0,0,0,0,0,1,0,0,0,1,0,1
Total (UTs),Counterfeiting,0,0,31,0,21,1,4,0,0,0,56,1,57
Total (All-India),Counterfeiting,17,1,1151,20,975,22,243,14,11,2,2397,59,2456
Andhra Pradesh,Criminal Breach of Trust,0,0,359,20,563,36,244,15,42,2,1208,73,1281
Arunachal Pradesh,Criminal Breach of Trust,0,0,1,0,15,0,2,0,0,0,18,0,18
Assam,Criminal Breach of Trust,0,0,323,2,694,0,107,0,0,0,1124,2,1126
Bihar,Criminal Breach of Trust,0,0,1168,7,958,20,331,3,10,0,2467,30,2497
Chhattisgarh,Criminal Breach of Trust,1,0,86,1,80,1,29,1,3,0,199,3,202
Goa,Criminal Breach of Trust,0,0,17,7,23,2,3,1,1,0,44,10,54
Gujarat,Criminal Breach of Trust,6,2,646,63,816,99,375,56,65,21,1908,241,2149
Haryana,Criminal Breach of Trust,1,0,211,10,303,15,124,3,10,2,649,30,679
Himachal Pradesh,Criminal Breach of Trust,0,0,26,2,49,1,14,0,2,1,91,4,95
Jammu & Kashmir,Criminal Breach of Trust,0,0,65,0,124,0,73,0,32,0,294,0,294
Jharkhand,Criminal Breach of Trust,2,0,193,6,384,11,56,0,1,0,636,17,653
Karnataka,Criminal Breach of Trust,0,0,115,4,276,30,114,17,22,2,527,53,580
Kerala,Criminal Breach of Trust,0,0,33,0,112,13,40,5,10,0,195,18,213
Madhya Pradesh,Criminal Breach of Trust,1,0,224,3,260,32,114,3,7,1,606,39,645
Maharashtra,Criminal Breach of Trust,5,0,1003,44,1172,45,492,42,54,7,2726,138,2864
Manipur,Criminal Breach of Trust,0,0,0,0,6,0,0,3,0,0,6,3,9
Meghalaya,Criminal Breach of Trust,0,0,23,3,18,6,11,0,0,0,52,9,61
Mizoram,Criminal Breach of Trust,0,0,6,0,8,1,9,3,2,0,25,4,29
Nagaland,Criminal Breach of Trust,0,0,5,1,3,0,1,0,0,0,9,1,10
Odisha,Criminal Breach of Trust,1,0,195,29,216,34,65,12,3,0,480,75,555
Punjab,Criminal Breach of Trust,5,0,92,7,120,34,61,5,0,3,278,49,327
Rajasthan,Criminal Breach of Trust,0,0,97,0,109,2,49,2,4,0,259,4,263
Sikkim,Criminal Breach of Trust,0,0,1,0,2,0,3,0,0,0,6,0,6
Tamil Nadu,Criminal Breach of Trust,0,0,80,3,166,9,83,4,8,3,337,19,356
Tripura,Criminal Breach of Trust,2,0,25,0,24,0,8,0,0,0,59,0,59
Uttar Pradesh,Criminal Breach of Trust,1,0,3974,2,2484,14,1307,1,57,0,7823,17,7840
Uttarakhand,Criminal Breach of Trust,0,0,3,0,49,0,21,0,2,0,75,0,75
West Bengal,Criminal Breach of Trust,1,0,355,30,675,22,330,10,12,0,1373,62,1435
Total (State),Criminal Breach of Trust,26,2,9326,244,9709,427,4066,186,347,42,23474,901,24375
A&N Islands,Criminal Breach of Trust,0,0,1,0,1,0,0,0,0,0,2,0,2
Chandigarh,Criminal Breach of Trust,0,0,16,0,15,0,1,0,0,0,32,0,32
D&N Haveli,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Criminal Breach of Trust,0,0,6,0,0,0,1,0,0,0,7,0,7
Delhi UT,Criminal Breach of Trust,1,0,104,3,118,0,13,0,2,0,238,3,241
Lakshadweep,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Criminal Breach of Trust,0,0,3,1,5,1,0,0,1,0,9,2,11
Total (UTs),Criminal Breach of Trust,1,0,130,4,139,1,15,0,3,0,288,5,293
Total (All-India),Criminal Breach of Trust,27,2,9456,248,9848,428,4081,186,350,42,23762,906,24668
Andhra Pradesh,Cruelty by Husband or his Relatives,10,0,6911,1320,6840,1623,3128,1486,584,363,17473,4792,22265
Arunachal Pradesh,Cruelty by Husband or his Relatives,0,0,10,0,22,0,0,0,0,0,32,0,32
Assam,Cruelty by Husband or his Relatives,7,0,2581,34,4477,17,673,9,7,1,7745,61,7806
Bihar,Cruelty by Husband or his Relatives,4,4,3913,212,1999,379,823,431,126,32,6865,1058,7923
Chhattisgarh,Cruelty by Husband or his Relatives,9,11,894,200,681,266,398,265,112,56,2094,798,2892
Goa,Cruelty by Husband or his Relatives,0,0,11,3,25,5,13,15,7,5,56,28,84
Gujarat,Cruelty by Husband or his Relatives,28,29,6424,1761,7123,2585,3326,2240,650,445,17551,7060,24611
Haryana,Cruelty by Husband or his Relatives,11,0,2079,109,1165,223,676,307,173,60,4104,699,4803
Himachal Pradesh,Cruelty by Husband or his Relatives,0,1,156,46,199,91,107,109,36,20,498,267,765
Jammu & Kashmir,Cruelty by Husband or his Relatives,0,0,224,69,318,98,110,51,19,9,671,227,898
Jharkhand,Cruelty by Husband or his Relatives,0,0,1136,174,1218,155,225,71,23,18,2602,418,3020
Karnataka,Cruelty by Husband or his Relatives,0,0,1377,320,1861,462,917,426,256,152,4411,1360,5771
Kerala,Cruelty by Husband or his Relatives,0,0,1433,234,2621,539,806,385,183,129,5043,1287,6330
Madhya Pradesh,Cruelty by Husband or his Relatives,43,35,4021,1063,3071,1250,2023,1042,344,235,9502,3625,13127
Maharashtra,Cruelty by Husband or his Relatives,44,43,7633,2754,7578,3646,4474,3060,1400,860,21129,10363,31492
Manipur,Cruelty by Husband or his Relatives,0,0,1,0,13,1,3,0,0,0,17,1,18
Meghalaya,Cruelty by Husband or his Relatives,0,0,8,0,17,0,0,0,0,0,25,0,25
Mizoram,Cruelty by Husband or his Relatives,0,0,0,0,5,0,0,0,0,0,5,0,5
Nagaland,Cruelty by Husband or his Relatives,0,0,2,0,2,0,1,1,0,0,5,1,6
Odisha,Cruelty by Husband or his Relatives,3,3,1574,368,1218,432,685,265,99,26,3579,1094,4673
Punjab,Cruelty by Husband or his Relatives,0,0,1134,239,661,230,365,113,33,10,2193,592,2785
Rajasthan,Cruelty by Husband or his Relatives,5,1,3738,225,3448,636,1848,661,291,91,9330,1614,10944
Sikkim,Cruelty by Husband or his Relatives,0,0,3,0,2,0,0,0,0,0,5,0,5
Tamil Nadu,Cruelty by Husband or his Relatives,2,2,1435,190,1321,396,717,289,82,41,3557,918,4475
Tripura,Cruelty by Husband or his Relatives,3,5,507,141,371,139,202,68,50,5,1133,358,1491
Uttar Pradesh,Cruelty by Husband or his Relatives,6,7,22523,2030,9280,1808,5004,984,955,79,37768,4908,42676
Uttarakhand,Cruelty by Husband or his Relatives,1,2,142,6,230,17,72,21,0,0,445,46,491
West Bengal,Cruelty by Husband or his Relatives,13,2,2026,1463,9783,2275,3388,1834,383,233,15593,5807,21400
Total (State),Cruelty by Husband or his Relatives,189,145,71896,12961,65549,17273,29984,14133,5813,2870,173431,47382,220813
A&N Islands,Cruelty by Husband or his Relatives,0,0,3,0,5,0,1,1,0,0,9,1,10
Chandigarh,Cruelty by Husband or his Relatives,0,0,41,4,30,6,26,5,0,0,97,15,112
D&N Haveli,Cruelty by Husband or his Relatives,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Cruelty by Husband or his Relatives,0,0,2,0,1,0,0,0,0,0,3,0,3
Delhi UT,Cruelty by Husband or his Relatives,0,0,599,24,389,25,72,20,8,0,1068,69,1137
Lakshadweep,Cruelty by Husband or his Relatives,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Cruelty by Husband or his Relatives,0,0,2,1,8,2,1,1,1,0,12,4,16
Total (UTs),Cruelty by Husband or his Relatives,0,0,647,29,433,33,100,27,9,0,1189,89,1278
Total (All-India),Cruelty by Husband or his Relatives,189,145,72543,12990,65982,17306,30084,14160,5822,2870,174620,47471,222091
Andhra Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Custodial Rape,0,0,1,1,2,1,0,0,0,0,3,2,5
Kerala,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (State),Custodial Rape,0,0,1,1,2,1,0,0,0,0,3,2,5
A&N Islands,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Custodial Rape,0,0,1,1,2,1,0,0,0,0,3,2,5
Andhra Pradesh,Dacoity,5,0,302,7,178,6,44,0,0,0,529,13,542
Arunachal Pradesh,Dacoity,0,0,18,0,11,0,2,0,0,0,31,0,31
Assam,Dacoity,0,0,223,0,270,0,47,0,0,0,540,0,540
Bihar,Dacoity,11,0,1174,0,709,0,129,0,24,0,2047,0,2047
Chhattisgarh,Dacoity,15,0,125,0,87,0,27,0,0,0,254,0,254
Goa,Dacoity,0,0,36,0,11,0,1,0,0,0,48,0,48
Gujarat,Dacoity,15,1,632,16,451,5,140,4,11,0,1249,26,1275
Haryana,Dacoity,12,0,385,0,206,0,29,0,0,0,632,0,632
Himachal Pradesh,Dacoity,0,0,45,0,14,0,0,0,0,0,59,0,59
Jammu & Kashmir,Dacoity,0,0,2,0,13,0,0,0,0,0,15,0,15
Jharkhand,Dacoity,3,0,365,1,152,0,30,0,0,0,550,1,551
Karnataka,Dacoity,16,0,397,1,315,3,80,1,11,0,819,5,824
Kerala,Dacoity,1,0,141,2,102,0,15,0,1,0,260,2,262
Madhya Pradesh,Dacoity,0,0,279,0,224,0,100,0,4,0,607,0,607
Maharashtra,Dacoity,109,1,2173,42,1041,52,439,15,65,7,3827,117,3944
Manipur,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Dacoity,4,0,77,0,15,0,0,0,0,0,96,0,96
Mizoram,Dacoity,0,0,3,0,5,0,2,0,0,0,10,0,10
Nagaland,Dacoity,0,0,1,0,0,0,0,0,0,0,1,0,1
Odisha,Dacoity,19,0,861,2,736,4,269,0,1,0,1886,6,1892
Punjab,Dacoity,0,0,45,1,22,1,2,0,0,0,69,2,71
Rajasthan,Dacoity,2,0,132,0,58,0,1,0,0,0,193,0,193
Sikkim,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Dacoity,9,1,236,4,185,1,40,0,0,0,470,6,476
Tripura,Dacoity,0,0,4,0,5,0,0,0,0,0,9,0,9
Uttar Pradesh,Dacoity,4,0,3122,0,1968,1,1006,0,0,0,6100,1,6101
Uttarakhand,Dacoity,1,0,36,0,27,0,4,0,0,0,68,0,68
West Bengal,Dacoity,4,0,344,9,263,2,71,0,2,0,684,11,695
Total (State),Dacoity,230,3,11158,85,7068,75,2478,20,119,7,21053,190,21243
A&N Islands,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Dacoity,0,0,17,0,12,0,5,0,0,0,34,0,34
D&N Haveli,Dacoity,0,0,2,0,5,0,2,0,0,0,9,0,9
Daman & Diu,Dacoity,0,0,20,0,7,0,1,0,0,0,28,0,28
Delhi UT,Dacoity,7,0,87,0,35,0,1,1,1,0,131,1,132
Lakshadweep,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dacoity,0,0,6,0,0,0,0,0,0,0,6,0,6
Total (UTs),Dacoity,7,0,132,0,59,0,9,1,1,0,208,1,209
Total (All-India),Dacoity,237,3,11290,85,7127,75,2487,21,120,7,21261,191,21452
Andhra Pradesh,Dowry Deaths,1,0,350,70,288,125,184,125,24,17,847,337,1184
Arunachal Pradesh,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dowry Deaths,0,0,74,2,118,0,10,0,1,0,203,2,205
Bihar,Dowry Deaths,14,0,1148,168,827,187,329,164,42,14,2360,533,2893
Chhattisgarh,Dowry Deaths,1,0,86,21,64,29,29,18,6,2,186,70,256
Goa,Dowry Deaths,0,0,0,0,1,0,0,0,0,0,1,0,1
Gujarat,Dowry Deaths,0,0,24,3,18,4,10,4,3,1,55,12,67
Haryana,Dowry Deaths,0,1,190,6,140,24,58,28,6,2,394,61,455
Himachal Pradesh,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Dowry Deaths,0,0,5,2,4,1,0,2,0,0,9,5,14
Jharkhand,Dowry Deaths,0,0,223,33,228,69,30,7,2,3,483,112,595
Karnataka,Dowry Deaths,0,0,157,34,227,84,130,94,30,14,544,226,770
Kerala,Dowry Deaths,0,0,5,2,11,2,2,3,1,3,19,10,29
Madhya Pradesh,Dowry Deaths,7,12,714,174,465,228,280,198,66,18,1532,630,2162
Maharashtra,Dowry Deaths,8,0,336,93,257,131,179,112,39,24,819,360,1179
Manipur,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Dowry Deaths,0,0,0,0,1,0,0,0,0,0,1,0,1
Mizoram,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Dowry Deaths,0,0,1,0,0,0,0,0,0,0,1,0,1
Odisha,Dowry Deaths,0,0,223,55,237,74,139,40,14,3,613,172,785
Punjab,Dowry Deaths,0,1,101,24,81,33,54,16,0,4,236,78,314
Rajasthan,Dowry Deaths,4,0,242,14,168,25,59,41,15,13,488,93,581
Sikkim,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Dowry Deaths,0,0,104,6,83,13,28,26,2,0,217,45,262
Tripura,Dowry Deaths,0,0,34,1,27,11,4,0,0,0,65,12,77
Uttar Pradesh,Dowry Deaths,8,1,4733,634,2266,584,1460,396,309,14,8776,1629,10405
Uttarakhand,Dowry Deaths,0,0,9,0,34,7,14,6,0,0,57,13,70
West Bengal,Dowry Deaths,1,2,408,40,488,80,208,44,12,1,1117,167,1284
Total (State),Dowry Deaths,44,17,9167,1382,6033,1711,3207,1324,572,133,19023,4567,23590
A&N Islands,Dowry Deaths,0,0,1,0,1,0,0,0,0,0,2,0,2
Chandigarh,Dowry Deaths,0,0,0,0,3,0,1,0,0,0,4,0,4
D&N Haveli,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Dowry Deaths,0,0,125,10,38,29,28,25,9,4,200,68,268
Lakshadweep,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Dowry Deaths,0,0,126,10,42,29,29,25,9,4,206,68,274
Total (All-India),Dowry Deaths,44,17,9293,1392,6075,1740,3236,1349,581,137,19229,4635,23864
Andhra Pradesh,Hurt/Grevious Hurt,524,15,31465,2808,28429,2703,10477,958,1060,92,71955,6576,78531
Arunachal Pradesh,Hurt/Grevious Hurt,38,0,312,11,205,0,71,0,8,0,634,11,645
Assam,Hurt/Grevious Hurt,27,0,2886,100,4324,65,1253,2,16,0,8506,167,8673
Bihar,Hurt/Grevious Hurt,356,21,28216,2049,18032,1959,7224,665,1055,36,54883,4730,59613
Chhattisgarh,Hurt/Grevious Hurt,552,48,7963,484,5277,544,2642,231,285,30,16719,1337,18056
Goa,Hurt/Grevious Hurt,2,0,157,13,151,19,71,15,24,6,405,53,458
Gujarat,Hurt/Grevious Hurt,340,17,9415,683,7179,723,3063,224,292,22,20289,1669,21958
Haryana,Hurt/Grevious Hurt,128,1,2637,123,2812,178,984,64,201,9,6762,375,7137
Himachal Pradesh,Hurt/Grevious Hurt,20,1,586,48,481,71,168,39,44,7,1299,166,1465
Jammu & Kashmir,Hurt/Grevious Hurt,0,0,226,22,244,47,100,21,9,1,579,91,670
Jharkhand,Hurt/Grevious Hurt,21,0,4006,229,2990,166,1328,60,76,8,8421,463,8884
Karnataka,Hurt/Grevious Hurt,60,1,10964,998,11644,1495,6392,833,1129,145,30189,3472,33661
Kerala,Hurt/Grevious Hurt,178,1,10784,316,9519,498,4492,204,653,46,25626,1065,26691
Madhya Pradesh,Hurt/Grevious Hurt,1186,83,30883,1875,23834,1778,10911,562,1627,70,68441,4368,72809
Maharashtra,Hurt/Grevious Hurt,1420,65,26710,1806,17296,2073,8124,985,1281,201,54831,5130,59961
Manipur,Hurt/Grevious Hurt,0,0,33,1,40,2,10,0,2,0,85,3,88
Meghalaya,Hurt/Grevious Hurt,4,0,166,8,90,3,51,0,1,0,312,11,323
Mizoram,Hurt/Grevious Hurt,6,0,72,0,36,0,5,0,1,0,120,0,120
Nagaland,Hurt/Grevious Hurt,6,0,31,0,25,0,10,0,2,0,74,0,74
Odisha,Hurt/Grevious Hurt,89,8,5431,496,5980,589,3480,263,284,27,15264,1383,16647
Punjab,Hurt/Grevious Hurt,37,6,2995,264,3232,268,1057,71,21,1,7342,610,7952
Rajasthan,Hurt/Grevious Hurt,332,14,13265,1058,11112,1107,5354,471,471,51,30534,2701,33235
Sikkim,Hurt/Grevious Hurt,10,0,58,2,39,1,12,0,0,0,119,3,122
Tamil Nadu,Hurt/Grevious Hurt,174,0,11428,852,11616,1211,5586,448,680,36,29484,2547,32031
Tripura,Hurt/Grevious Hurt,4,0,1269,86,806,75,219,10,13,0,2311,171,2482
Uttar Pradesh,Hurt/Grevious Hurt,22,1,17603,402,9100,494,5295,220,378,0,32398,1117,33515
Uttarakhand,Hurt/Grevious Hurt,24,0,445,46,428,36,70,6,0,0,967,88,1055
West Bengal,Hurt/Grevious Hurt,63,5,6553,1324,7251,998,3697,301,254,30,17818,2658,20476
Total (State),Hurt/Grevious Hurt,5623,287,226559,16104,182172,17103,82146,6653,9867,818,506367,40965,547332
A&N Islands,Hurt/Grevious Hurt,0,0,21,0,20,0,17,4,1,0,59,4,63
Chandigarh,Hurt/Grevious Hurt,10,0,62,2,46,1,14,1,0,0,132,4,136
D&N Haveli,Hurt/Grevious Hurt,0,0,26,0,6,0,4,1,0,0,36,1,37
Daman & Diu,Hurt/Grevious Hurt,1,0,12,0,3,0,0,0,0,0,16,0,16
Delhi UT,Hurt/Grevious Hurt,106,0,1610,64,708,74,194,18,7,2,2625,158,2783
Lakshadweep,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Hurt/Grevious Hurt,16,0,780,15,649,24,133,8,13,3,1591,50,1641
Total (UTs),Hurt/Grevious Hurt,133,0,2511,81,1432,99,362,32,21,5,4459,217,4676
Total (All-India),Hurt/Grevious Hurt,5756,287,229070,16185,183604,17202,82508,6685,9888,823,510826,41182,552008
Andhra Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Importation of girls from Foreign Countries,0,0,0,0,7,0,0,0,0,0,7,0,7
Bihar,Importation of girls from Foreign Countries,0,0,5,0,2,0,0,0,0,0,7,0,7
Chhattisgarh,Importation of girls from Foreign Countries,0,0,3,0,0,0,0,0,0,0,3,0,3
Goa,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Importation of girls from Foreign Countries,0,0,0,0,0,0,1,0,0,0,1,0,1
Himachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Importation of girls from Foreign Countries,0,0,10,3,2,1,0,0,0,1,12,5,17
Maharashtra,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Importation of girls from Foreign Countries,0,0,0,0,4,0,0,0,0,0,4,0,4
Sikkim,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Importation of girls from Foreign Countries,0,0,13,3,3,0,0,0,0,0,16,3,19
Total (State),Importation of girls from Foreign Countries,0,0,31,6,18,1,1,0,0,1,50,8,58
A&N Islands,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Importation of girls from Foreign Countries,0,0,31,6,18,1,1,0,0,1,50,8,58
Andhra Pradesh,Insult to Modesty of Women,173,2,3084,51,1598,44,320,24,31,0,5206,121,5327
Arunachal Pradesh,Insult to Modesty of Women,0,0,2,0,1,0,0,0,0,0,3,0,3
Assam,Insult to Modesty of Women,0,0,3,0,11,0,0,0,0,0,14,0,14
Bihar,Insult to Modesty of Women,1,0,46,0,7,0,0,0,0,0,54,0,54
Chhattisgarh,Insult to Modesty of Women,8,0,173,13,59,2,46,1,2,0,288,16,304
Goa,Insult to Modesty of Women,0,0,19,0,18,0,5,0,1,0,43,0,43
Gujarat,Insult to Modesty of Women,2,0,83,0,26,0,4,0,0,0,115,0,115
Haryana,Insult to Modesty of Women,13,0,479,1,221,0,56,0,6,0,775,1,776
Himachal Pradesh,Insult to Modesty of Women,1,0,62,3,33,3,13,4,1,1,110,11,121
Jammu & Kashmir,Insult to Modesty of Women,3,0,277,2,112,7,31,0,0,0,423,9,432
Jharkhand,Insult to Modesty of Women,0,0,20,0,7,0,0,0,0,0,27,0,27
Karnataka,Insult to Modesty of Women,1,0,118,2,44,1,4,0,0,0,167,3,170
