state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
GUJARAT,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),2,15,0,6,11,103,114,0,98,16,0,16
HARYANA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),2,3,0,0,5,10,15,0,14,1,0,1
HIMACHAL PRADESH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,3,3,0,2,1,0,1
JAMMU & KASHMIR,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,1,1,0,1,0,0,0
JHARKHAND,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,1,0,0,1,6,7,0,4,3,1,2
KERALA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),2,5,0,1,6,14,20,0,20,0,0,0
MADHYA PRADESH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,14,0,4,10,31,41,0,37,4,1,3
MAHARASHTRA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),24,66,0,26,64,567,631,2,582,47,1,46
MANIPUR,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,1,0,0,1,0,1,0,0,1,1,0
NAGALAND,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),3,0,0,3,0,0,0,0,0,0,0,0
RAJASTHAN,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,17,0,0,17,53,70,0,45,25,4,21
SIKKIM,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),1,1,0,1,1,0,1,0,1,0,0,0
TRIPURA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,2,0,0,2,0,2,0,2,0,0,0
UTTARAKHAND,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,8,0,0,8,0,8,0,5,3,0,3
TOTAL (STATES),EXPOSURE AND ABANDONMENT (SECTION 317 IPC),56,147,0,65,138,837,975,2,853,120,9,111
A & N ISLANDS,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,2,2,0,2,0,0,0
CHANDIGARH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,2,2,0,2,0,0,0
D & N HAVELI,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,11,1,0,10,6,16,0,13,3,0,3
LAKSHADWEEP,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,11,1,0,10,10,20,0,17,3,0,3
TOTAL (ALL-INDIA),EXPOSURE AND ABANDONMENT (SECTION 317 IPC),56,158,1,65,148,847,995,2,870,123,9,114
ANDHRA PRADESH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),37,37,0,29,45,167,212,48,77,87,7,80
ARUNACHAL PRADESH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),63,122,49,38,98,63,161,0,145,16,1,15
BIHAR,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),15,38,0,15,38,525,563,0,363,200,13,187
CHHATTISGARH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,18,0,0,18,30,48,0,35,13,2,11
GOA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),7,0,0,7,0,7,7,0,7,0,0,0
GUJARAT,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,26,0,1,25,25,50,0,43,7,3,4
HARYANA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,4,0,1,3,5,8,0,4,4,0,4
JAMMU & KASHMIR,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,16,0,0,16,41,57,0,0,57,0,57
KARNATAKA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),2,18,0,2,18,16,34,0,29,5,0,5
KERALA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),2,11,0,0,13,99,112,0,110,2,0,2
MADHYA PRADESH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,23,0,0,23,39,62,5,25,32,8,24
MAHARASHTRA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),25,60,0,25,60,282,342,0,314,28,0,28
MANIPUR,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,3,3,0,3,0,0,0
MIZORAM,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),3,11,0,0,14,18,32,0,32,0,0,0
PUNJAB,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,15,0,0,15,29,44,0,44,0,0,0
SIKKIM,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,41,0,41,0,0,0,0,0,0,0,0
TRIPURA,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,7,7,0,7,0,0,0
UTTAR PRADESH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,4,0,0,4,0,4,0,4,0,0,0
UTTARAKHAND,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,4,0,1,3,0,3,0,3,0,0,0
WEST BENGAL,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),195,227,7,177,238,225,463,0,398,65,0,65
TOTAL (STATES),PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),349,675,56,337,631,1581,2212,53,1643,516,34,482
A & N ISLANDS,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),5,1,0,6,0,6,6,0,6,0,0,0
LAKSHADWEEP,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),5,1,0,6,0,6,6,0,6,0,0,0
TOTAL (ALL-INDIA),PROCURATION OF MINOR GIRLS (SECTION 366-A IPC),354,676,56,343,631,1587,2218,53,1649,516,34,482
ANDHRA PRADESH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,1,1,0,0,1,0,1
ARUNACHAL PRADESH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),2,4,0,2,4,1,5,0,4,1,1,0
CHHATTISGARH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
GOA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,5,5,0,5,0,0,0
HIMACHAL PRADESH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,5,0,0,5,0,5,0,0,5,0,5
KARNATAKA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KERALA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,5,5,0,5,0,0,0
MAHARASHTRA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),3,11,0,9,5,217,222,0,222,0,0,0
MANIPUR,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,6,6,0,1,5,0,5
SIKKIM,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,4,4,0,4,0,0,0
UTTARAKHAND,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),42,4,0,42,4,11,15,0,11,4,0,4
TOTAL (STATES),BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),47,24,0,53,18,250,268,0,252,16,1,15
A & N ISLANDS,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),11,1,0,12,0,0,0,0,0,0,0,0
LAKSHADWEEP,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),11,1,0,12,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),BUYING OF GIRLS FOR PROSTITUTION (SECTION 373 IPC),58,25,0,65,18,250,268,0,252,16,1,15
ANDHRA PRADESH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),2,8,0,0,10,14,24,0,20,4,0,4
ARUNACHAL PRADESH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),1,0,0,1,0,3,3,0,3,0,0,0
BIHAR,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,12,0,5,7,4,11,0,10,1,1,0
CHHATTISGARH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,4,4,0,4,0,0,0
GOA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,1,1,0,1,0,0,0
HARYANA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,7,0,0,7,0,7,0,0,7,0,7
KARNATAKA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KERALA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,20,0,0,20,38,58,0,52,6,3,3
MAHARASHTRA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,8,0,5,3,45,48,0,48,0,0,0
MANIPUR,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,3,3,0,3,0,0,0
RAJASTHAN,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,7,0,0,7,5,12,0,10,2,0,2
SIKKIM,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,30,1,5,24,15,39,0,39,0,0,0
UTTARAKHAND,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),185,32,1,193,23,200,223,0,204,19,1,18
TOTAL (STATES),SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),188,124,2,209,101,332,433,0,394,39,5,34
A & N ISLANDS,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),3,4,0,7,0,9,9,0,7,2,1,1
LAKSHADWEEP,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),3,4,0,7,0,9,9,0,7,2,1,1
TOTAL (ALL-INDIA),SELLING OF GIRLS FOR PROSTITUTION (SECTION 372 IPC),191,128,2,216,101,341,442,0,401,41,6,35
ANDHRA PRADESH,"CHILD MARRIAGE RESTRAINT ACT, 1929",37,61,0,30,68,19,87,0,63,24,4,20
ARUNACHAL PRADESH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,3,3,0,2,1,0,1
BIHAR,"CHILD MARRIAGE RESTRAINT ACT, 1929",3,17,3,12,5,18,23,0,14,9,0,9
CHHATTISGARH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,2,0,0,2,22,24,0,24,0,0,0
GOA,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,4,4,0,4,0,0,0
GUJARAT,"CHILD MARRIAGE RESTRAINT ACT, 1929",4,72,0,0,76,567,643,0,610,33,9,24
HARYANA,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,9,0,0,9,3,12,0,11,1,1,0
HIMACHAL PRADESH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,21,21,0,21,0,0,0
JAMMU & KASHMIR,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"CHILD MARRIAGE RESTRAINT ACT, 1929",3,57,0,3,57,19,76,0,56,20,0,20
KERALA,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,6,0,0,6,18,24,0,19,5,0,5
MADHYA PRADESH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,15,0,0,15,40,55,0,55,0,0,0
MAHARASHTRA,"CHILD MARRIAGE RESTRAINT ACT, 1929",30,13,0,0,43,527,570,12,541,17,0,17
MANIPUR,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"CHILD MARRIAGE RESTRAINT ACT, 1929",2,0,0,2,0,0,0,0,0,0,0,0
MIZORAM,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,2,0,0,2,4,6,0,6,0,0,0
PUNJAB,"CHILD MARRIAGE RESTRAINT ACT, 1929",1,0,0,1,0,21,21,0,14,7,0,7
RAJASTHAN,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,31,0,0,31,65,96,0,67,29,23,6
SIKKIM,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,1,1,0,1,0,0,0
UTTAR PRADESH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,17,3,5,9,25,34,0,23,11,3,8
UTTARAKHAND,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"CHILD MARRIAGE RESTRAINT ACT, 1929",16,88,3,43,58,44,102,0,97,5,0,5
TOTAL (STATES),"CHILD MARRIAGE RESTRAINT ACT, 1929",96,390,9,96,381,1421,1802,12,1628,162,40,122
A & N ISLANDS,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,20,20,0,20,0,0,0
CHANDIGARH,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,8,8,0,8,0,0,0
D & N HAVELI,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,3,0,3,0,4,4,0,4,0,0,0
LAKSHADWEEP,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"CHILD MARRIAGE RESTRAINT ACT, 1929",0,4,0,4,0,9,9,0,9,0,0,0
TOTAL (UTs),"CHILD MARRIAGE RESTRAINT ACT, 1929",0,7,0,7,0,41,41,0,41,0,0,0
TOTAL (ALL-INDIA),"CHILD MARRIAGE RESTRAINT ACT, 1929",96,397,9,103,381,1462,1843,12,1669,162,40,122
ANDHRA PRADESH,OTHER CRIMES COMMITTED AGAINST CHILDREN,156,674,0,183,647,616,1263,106,672,485,89,396
ARUNACHAL PRADESH,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,1,0,1,0,2,2,0,2,0,0,0
ASSAM,OTHER CRIMES COMMITTED AGAINST CHILDREN,60,31,13,62,16,56,72,0,39,33,1,32
BIHAR,OTHER CRIMES COMMITTED AGAINST CHILDREN,23,7,1,4,25,47,72,0,15,57,4,53
CHHATTISGARH,OTHER CRIMES COMMITTED AGAINST CHILDREN,5,1170,0,16,1159,1826,2985,35,1852,1098,440,658
GOA,OTHER CRIMES COMMITTED AGAINST CHILDREN,25,60,0,40,45,113,158,2,148,8,0,8
GUJARAT,OTHER CRIMES COMMITTED AGAINST CHILDREN,24,249,0,14,259,1531,1790,0,1538,252,42,210
HARYANA,OTHER CRIMES COMMITTED AGAINST CHILDREN,4,142,0,2,144,37,181,0,127,54,6,48
HIMACHAL PRADESH,OTHER CRIMES COMMITTED AGAINST CHILDREN,6,58,0,7,57,189,246,1,216,29,13,16
JAMMU & KASHMIR,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,5,0,0,5,16,21,0,19,2,0,2
JHARKHAND,OTHER CRIMES COMMITTED AGAINST CHILDREN,13,51,0,22,42,22,64,0,37,27,1,26
KARNATAKA,OTHER CRIMES COMMITTED AGAINST CHILDREN,14,76,0,6,84,67,151,0,114,37,1,36
KERALA,OTHER CRIMES COMMITTED AGAINST CHILDREN,210,761,1,230,740,1221,1961,2,1706,253,63,190
MADHYA PRADESH,OTHER CRIMES COMMITTED AGAINST CHILDREN,48,4107,0,8,4147,7909,12056,550,9206,2300,837,1463
MAHARASHTRA,OTHER CRIMES COMMITTED AGAINST CHILDREN,617,1378,7,639,1349,7944,9293,33,8745,515,59,456
MANIPUR,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,1,1,0,1,0,0,0
MEGHALAYA,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,7,7,0,7,0,0,0
MIZORAM,OTHER CRIMES COMMITTED AGAINST CHILDREN,7,16,0,2,21,5,26,0,19,7,7,0
NAGALAND,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,OTHER CRIMES COMMITTED AGAINST CHILDREN,2,121,0,5,118,155,273,0,214,59,3,56
PUNJAB,OTHER CRIMES COMMITTED AGAINST CHILDREN,17,34,4,14,33,56,89,0,66,23,7,16
RAJASTHAN,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,122,0,0,122,168,290,8,205,77,32,45
SIKKIM,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,OTHER CRIMES COMMITTED AGAINST CHILDREN,16,49,0,30,35,22,57,0,36,21,11,10
TRIPURA,OTHER CRIMES COMMITTED AGAINST CHILDREN,3,0,0,0,3,28,31,0,19,12,4,8
UTTAR PRADESH,OTHER CRIMES COMMITTED AGAINST CHILDREN,44,308,35,25,292,2066,2358,0,1989,369,211,158
UTTARAKHAND,OTHER CRIMES COMMITTED AGAINST CHILDREN,0,22,0,0,22,8,30,0,23,7,7,0
WEST BENGAL,OTHER CRIMES COMMITTED AGAINST CHILDREN,35,118,12,38,103,79,182,8,136,38,7,31
TOTAL (STATES),OTHER CRIMES COMMITTED AGAINST CHILDREN,1329,9560,73,1348,9468,24191,33659,745,27151,5763,1845,3918
A & N ISLANDS,OTHER CRIMES COMMITTED AGAINST CHILDREN,24,8,0,16,16,115,131,0,126,5,0,5
CHANDIGARH,OTHER CRIMES COMMITTED AGAINST CHILDREN,4,17,0,1,20,26,46,0,38,8,4,4
