area_name,year,group_name,sub_group_name,k_a_cases_reported,k_a_female_10_15_years,k_a_female_15_18_years,k_a_female_18_30_years,k_a_female_30_50_years,k_a_female_above_50_years,k_a_female_total,k_a_female_upto_10_years,k_a_grand_total,k_a_male_10_15_years,k_a_male_15_18_years,k_a_male_18_30_years,k_a_male_30_50_years,k_a_male_above_50_years,k_a_male_total,k_a_male_upto_10_years
Bihar,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,,,,,,,,,,,,,,,
Tamil Nadu,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2008,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,,0,,,,,,,,,,,,,
Gujarat,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2009,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Camel Racing,03. for Camel Racing,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,78,25,24,25,2,0,78,2,78,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,7,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,65,4,20,28,12,0,65,1,65,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,46,2,5,35,4,0,46,0,46,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,14,6,5,2,,,13,,14,,1,,,,1,
Goa,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,1,0,,,,1,,1,,,,,,,
Gujarat,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,141,19,62,42,3,0,128,2,141,3,5,5,0,0,13,0
Haryana,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,95,27,48,17,0,0,95,3,95,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,6,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,203,4,79,104,14,,203,2,203,,,,,,,
Jharkhand,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,13,0,5,9,2,0,16,0,20,0,0,4,0,0,4,0
Karnataka,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,11,0,3,6,1,0,11,1,11,0,0,0,0,0,0,0
Kerala,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,9,1,4,,1,,8,2,10,2,,,,,2,
Madhya Pradesh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,101,19,41,17,4,0,83,2,101,12,5,0,0,0,18,1
Maharashtra,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,54,13,4,23,4,0,48,4,55,1,0,0,3,0,7,3
Meghalaya,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,91,0,55,36,0,0,91,0,91,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,74,16,40,4,5,0,65,,74,0,7,2,0,0,9,
Rajasthan,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,44,2,4,31,7,,44,,44,,,,,,,
Tamil Nadu,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,12,0,8,4,,,12,,12,,,,,,,
Uttar Pradesh,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,931,85,229,498,109,4,925,,925,,,,,,,
West Bengal,2001,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,38,9,16,11,2,0,38,0,38,0,0,0,0,0,0,0
Andhra Pradesh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,98,1,0,89,8,0,98,0,98,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,,,1,,,1,,1,,,,,,,
Assam,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,81,0,0,52,29,0,81,0,81,0,0,0,0,0,0,0
Bihar,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,69,2,0,66,1,0,69,0,69,0,0,0,0,0,0,0
Chandigarh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Chhattisgarh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,19,7,6,4,2,0,19,0,19,0,0,0,0,0,0,0
Daman & Diu,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,13,4,8,1,1,0,14,0,16,1,0,0,1,0,2,0
Goa,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,,,1,,,1,,1,,,,,,,
Gujarat,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,126,13,10,68,22,0,114,1,126,1,0,5,6,0,12,0
Haryana,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,83,1,3,77,2,0,83,0,83,0,0,0,0,0,0,0
Himachal Pradesh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,10,0,4,5,1,0,10,0,10,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,181,0,0,174,7,0,181,0,181,0,0,0,0,0,0,0
Jharkhand,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,23,0,1,14,3,,18,,20,,,2,0,,2,
Karnataka,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
Kerala,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,10,1,2,1,1,,6,1,10,1,1,,,,4,2
Madhya Pradesh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,102,12,27,45,14,0,102,4,102,0,0,0,0,0,0,0
Maharashtra,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,72,6,14,43,3,0,69,3,73,1,1,2,0,0,4,0
Meghalaya,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,95,4,0,88,3,0,95,0,95,0,0,0,0,0,0,0
Punjab,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,53,3,5,37,3,0,49,1,53,3,1,0,0,0,4,0
Rajasthan,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,29,,0,28,1,,29,,29,,,,,,,
Tamil Nadu,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,18,0,8,8,1,0,17,0,18,0,0,0,1,0,1,0
Tripura,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,,,,,,,,,,,,,,,
Uttar Pradesh,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,685,49,50,391,166,,656,,685,6,14,9,,,29,
Uttarakhand,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,6,0,0,4,2,0,6,0,6,0,0,0,0,0,0,0
West Bengal,2002,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,30,3,9,16,2,0,30,0,30,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,80,16,11,40,14,0,81,0,81,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,9,6,0,3,0,0,9,0,9,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,125,0,0,101,23,1,125,0,125,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,43,0,0,41,0,0,41,0,51,0,0,6,4,0,10,0
Chandigarh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,20,4,2,13,1,0,20,0,20,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,23,9,4,8,0,0,22,1,23,0,0,0,1,0,1,0
Gujarat,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,177,24,26,101,9,0,160,0,177,0,1,16,0,0,17,0
Haryana,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,57,2,3,52,0,0,57,0,57,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,218,0,0,185,33,0,218,0,218,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,46,1,0,11,4,0,16,0,20,0,0,4,0,0,4,0
Karnataka,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,6,1,2,3,0,0,6,0,6,0,0,0,0,0,0,0
Kerala,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,8,2,0,5,,,8,1,8,,,,,,,
Madhya Pradesh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,100,19,5,68,6,,99,1,100,1,,,,,1,
Maharashtra,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,46,9,11,21,1,0,44,2,46,0,0,1,0,0,2,1
Meghalaya,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,2,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0
Mizoram,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,1,0,,,,1,,1,,,,,,,
Nagaland,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,59,5,6,48,0,0,59,0,59,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,45,4,6,36,3,0,49,0,49,0,0,0,0,0,0,0
Rajasthan,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,11,5,4,,,,11,2,11,,,,,,,
Tamil Nadu,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,13,0,1,9,1,0,11,0,13,0,0,0,1,1,2,0
Uttar Pradesh,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,498,51,128,248,63,8,498,,498,,,,,,,
Uttarakhand,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,6,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,25,3,0,21,0,0,25,1,25,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,102,11,12,68,8,1,102,2,102,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,218,0,0,159,59,0,218,0,218,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,57,1,0,52,4,0,57,0,57,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,18,10,6,1,0,0,17,0,18,1,0,0,0,0,1,0
Delhi,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,1,0,1,1,0,3,0,3,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,136,11,19,80,10,0,121,1,136,1,1,11,0,0,15,2
Haryana,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,66,0,13,58,,,71,0,71,,,,,,,
Himachal Pradesh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,217,,0,182,31,,213,,218,,,2,3,,5,
Jharkhand,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,44,1,,11,4,,16,,20,,,4,,,4,
Karnataka,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,13,2,2,7,1,0,13,1,13,0,0,0,0,0,0,0
Kerala,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,18,5,8,5,,,18,,18,,,,,,,
Madhya Pradesh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,38,10,10,15,2,0,39,2,39,0,0,0,0,0,0,0
Manipur,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,14,0,10,4,0,0,14,0,14,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,65,1,1,34,31,0,67,0,67,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,76,2,6,63,5,0,76,0,76,0,0,0,0,0,0,0
Rajasthan,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,14,,,14,,,14,,14,,,,,,,
Tamil Nadu,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,30,0,5,19,5,0,30,1,30,0,0,0,0,0,0,0
Tripura,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,,,,,,,,,,,,,,,
Uttar Pradesh,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,892,44,185,351,162,1,748,5,892,0,4,30,110,0,144,0
Uttarakhand,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,6,0,0,3,3,0,6,0,6,0,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,35,5,11,21,0,0,37,0,37,0,0,0,0,0,0,0
Andhra Pradesh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,58,9,20,21,4,0,55,1,58,0,0,3,0,0,3,0
Arunachal Pradesh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Assam,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,129,0,0,110,19,0,129,0,129,0,0,0,0,0,0,0
Bihar,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,31,2,10,19,0,0,31,0,31,0,0,0,0,0,0,0
Chandigarh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,33,13,11,4,0,0,28,0,33,1,0,2,2,0,5,0
Delhi,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,4,2,1,,0,1,4,,4,,,,,,,
Gujarat,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,154,15,29,98,2,0,149,5,154,1,0,3,1,0,5,0
Haryana,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,68,8,11,18,31,0,68,0,69,1,0,0,0,0,1,0
Himachal Pradesh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,5,1,1,1,2,0,5,0,5,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,269,0,0,229,40,0,269,0,269,0,0,0,0,0,0,0
Jharkhand,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,40,1,0,11,4,0,16,0,40,0,0,4,20,0,24,0
Karnataka,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0
Kerala,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,9,1,4,2,1,,10,2,10,,,,,,,
Madhya Pradesh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,46,7,9,27,3,0,46,0,46,0,0,0,0,0,0,0
Maharashtra,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,49,11,23,10,3,0,47,0,50,1,0,0,1,0,3,1
Manipur,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,4,1,1,2,0,0,4,0,4,0,0,0,0,0,0,0
Mizoram,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,83,0,0,83,0,0,83,0,83,0,0,0,0,0,0,0
Punjab,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,32,2,4,25,1,0,33,1,34,0,0,0,0,0,1,1
Rajasthan,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,12,2,1,9,,,12,,12,,,,,,,
Tamil Nadu,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,19,4,2,12,1,,19,,19,,,,,,,
Tripura,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,,,3,,,3,,3,,,,,,,
Uttar Pradesh,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,991,65,173,563,188,0,991,2,991,0,0,0,0,0,0,0
Uttarakhand,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,22,4,16,1,1,0,22,0,22,0,0,0,0,0,0,0
West Bengal,2005,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,49,6,12,31,0,0,49,0,49,0,0,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,111,40,18,52,1,0,111,0,111,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,7,7,0,0,0,0,7,0,7,0,0,0,0,0,0,0
Assam,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,147,0,0,117,30,0,147,0,147,0,0,0,0,0,0,0
Bihar,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,89,0,0,65,24,0,89,0,89,0,0,0,0,0,0,0
Chhattisgarh,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,24,3,12,4,3,0,23,1,24,1,0,0,0,0,1,0
Delhi,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,14,3,5,5,,,14,1,14,,,,,,,
Goa,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,3,2,1,,,,3,,3,,,,,,,
Gujarat,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,184,21,78,69,10,0,183,5,188,0,0,5,0,0,5,0
Haryana,2006,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,82,28,44,10,,,82,,82,,,,,,,
