states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Gujarat,14.2 - Industrial,2014,10,0,10,3,0,3,2,0,2,0,0,0,15,0,15
Gujarat,14.3 - Political,2014,28,3,31,39,2,41,35,2,37,6,0,6,108,7,115
Gujarat,14.4 - Caste Conflict,2014,342,20,362,288,35,323,90,15,105,6,1,7,726,71,797
Gujarat,14.4.1 - SC/STs Vs. Non-SCs/STs,2014,105,11,116,91,10,101,28,3,31,1,1,2,225,25,250
Gujarat,14.4.2 - Other Caste Riots,2014,237,9,246,197,25,222,62,12,74,5,0,5,501,46,547
Gujarat,14.5 - Agrarian,2014,172,8,180,161,17,178,67,2,69,6,2,8,406,29,435
Gujarat,14.6 - Students,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,14.7 - Sectarian,2014,2,0,2,13,0,13,4,0,4,0,0,0,19,0,19
Gujarat,14.8 - Other Riots,2014,3026,168,3194,2884,271,3155,1081,98,1179,94,11,105,7085,548,7633
Gujarat,15 - Criminal Breach of Trust (Section 406 to 409 IPC),2014,438,69,507,850,87,937,310,37,347,41,5,46,1639,198,1837
Gujarat,16 - Cheating (Section 420 IPC),2014,586,33,619,978,97,1075,460,54,514,45,8,53,2069,192,2261
Gujarat,"17 - Forgery (Section 465, 468 & 471 IPC)",2014,131,5,136,220,6,226,82,1,83,5,0,5,438,12,450
Gujarat,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,14,1,15,39,7,46,0,0,0,0,0,0,53,8,61
Gujarat,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,18.2 - Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,13,1,14,39,7,46,0,0,0,0,0,0,52,8,60
Gujarat,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,10,1,11,24,7,31,0,0,0,0,0,0,34,8,42
Gujarat,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3
Gujarat,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,2,0,2,12,0,12,0,0,0,0,0,0,14,0,14
Gujarat,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Gujarat,19 - Arson (Section 435-436 & 438 IPC),2014,160,2,162,165,10,175,58,2,60,4,0,4,387,14,401
Gujarat,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,2906,148,3054,2704,218,2922,1052,60,1112,53,5,58,6715,431,7146
Gujarat,20.1 - Grievous Hurt (Section 325 & 326 IPC),2014,2903,148,3051,2700,216,2916,1049,60,1109,53,5,58,6705,429,7134
Gujarat,20.2 - Acid attack (Section 326A IPC),2014,1,0,1,3,2,5,3,0,3,0,0,0,7,2,9
Gujarat,20.3 - Attempt to Acid Attack (Section 326B IPC),2014,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
Gujarat,21 - Dowry Deaths (Section 304-B IPC),2014,11,5,16,16,6,22,16,4,20,0,1,1,43,16,59
Gujarat,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,1069,34,1103,661,35,696,154,10,164,12,3,15,1896,82,1978
Gujarat,22.1 - Sexual Harassment (Section 354A IPC),2014,347,8,355,152,7,159,38,4,42,4,0,4,541,19,560
Gujarat,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,39,1,40,26,3,29,6,0,6,0,0,0,71,4,75
Gujarat,22.3 - Voyeurism (Section 354C IPC),2014,7,0,7,2,0,2,1,0,1,0,0,0,10,0,10
Gujarat,22.4 - Stalking (Section 354D IPC),2014,47,1,48,24,3,27,7,0,7,0,0,0,78,4,82
Gujarat,22.5 - Others,2014,629,24,653,457,22,479,102,6,108,8,3,11,1196,55,1251
Gujarat,23 - Insult to the Modesty of Women (Section 509 IPC),2014,130,2,132,45,2,47,10,0,10,2,0,2,187,4,191
Gujarat,23.1 - At Office premises,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,23.2 - Places related to work other than Office,2014,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3
Gujarat,23.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,23.4 - in Other Places,2014,128,2,130,43,2,45,10,0,10,2,0,2,183,4,187
Gujarat,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),2014,4695,1734,6429,5185,2480,7665,2538,1774,4312,446,316,762,12864,6304,19168
Gujarat,25 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,26 - Causing Death by Negligence (Section 304-A IPC),2014,1959,6,1965,2537,10,2547,865,0,865,41,0,41,5402,16,5418
Gujarat,26.1 - Deaths due to negligent driving/act,2014,1931,6,1937,2498,9,2507,855,0,855,40,0,40,5324,15,5339
Gujarat,26.2 - Deaths due to Other Causes,2014,28,0,28,39,1,40,10,0,10,1,0,1,78,1,79
Gujarat,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,27.1 - Sedition (Section 124A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,27.2 - Other offences against State,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,15,0,15,3,0,3,3,0,3,0,0,0,21,0,21
Gujarat,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,15,0,15,3,0,3,2,0,2,0,0,0,20,0,20
Gujarat,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Gujarat,29 - Extortion (Section 384 - 389 IPC),2014,163,8,171,154,6,160,34,3,37,2,1,3,353,18,371
Gujarat,30 - Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,13340,68,13408,11155,60,11215,4070,10,4080,125,0,125,28690,138,28828
Gujarat,32 - Human Trafficking (Section 370 & 370A IPC),2014,1,0,1,10,0,10,0,0,0,0,0,0,11,0,11
Gujarat,33 - Unnatural Offences U/s 377 IPC,2014,12,0,12,2,1,3,4,0,4,1,0,1,19,1,20
Gujarat,34 - Other IPC crimes,2014,26940,1820,28760,28042,2129,30171,12864,912,13776,900,111,1011,68746,4972,73718
Gujarat,35 - Total Cognizable IPC crimes,2014,71078,4516,75594,65791,5973,71764,26232,3139,29371,1898,479,2377,164999,14107,179106
Haryana,1 - Murder (Section 302 IPC),2014,869,40,909,648,51,699,271,12,283,7,0,7,1795,103,1898
Haryana,2 - Attempt to commit Murder (Section 307 IPC),2014,766,12,778,472,14,486,237,9,246,10,0,10,1485,35,1520
Haryana,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,39,0,39,39,0,39,6,0,6,0,0,0,84,0,84
Haryana,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,6,0,6,2,0,2,0,0,0,0,0,0,8,0,8
Haryana,5 - Rape (Section 376 IPC),2014,950,17,967,324,19,343,69,3,72,2,1,3,1345,40,1385
Haryana,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,5.2 - Rape other than Custodial,2014,950,17,967,324,19,343,69,3,72,2,1,3,1345,40,1385
Haryana,5.2.1 - Gang Rape,2014,335,5,340,89,2,91,12,0,12,1,0,1,437,7,444
Haryana,5.2.2 - Other Rape,2014,615,12,627,235,17,252,57,3,60,1,1,2,908,33,941
Haryana,6 - Attempt to commit Rape (Section 376/511 IPC),2014,100,4,104,25,1,26,3,0,3,0,0,0,128,5,133
Haryana,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,956,12,968,360,13,373,52,1,53,0,0,0,1368,26,1394
Haryana,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,49,0,49,11,0,11,0,0,0,0,0,0,60,0,60
Haryana,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,26,0,26,10,2,12,0,1,1,0,0,0,36,3,39
Haryana,7.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,1,8,4,0,4,0,0,0,0,0,0,11,1,12
Haryana,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,373,3,376,125,2,127,8,0,8,0,0,0,506,5,511
Haryana,7.5 - Other Kidnapping,2014,501,8,509,210,9,219,44,0,44,0,0,0,755,17,772
Haryana,"8 - Dacoity (Section 395,396-398 IPC)",2014,351,0,351,139,0,139,8,0,8,0,0,0,498,0,498
Haryana,8.1 - Dacoity with Murder (Section 396 IPC),2014,5,0,5,1,0,1,0,0,0,0,0,0,6,0,6
Haryana,8.2 - Other Dacoity,2014,346,0,346,138,0,138,8,0,8,0,0,0,492,0,492
Haryana,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,288,0,288,89,0,89,9,0,9,0,0,0,386,0,386
Haryana,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2014,916,0,916,379,0,379,65,0,65,0,0,0,1360,0,1360
Haryana,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,1992,25,2017,937,24,961,210,4,214,0,1,1,3139,54,3193
Haryana,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,1690,15,1705,808,17,825,185,0,185,0,1,1,2683,33,2716
Haryana,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,302,10,312,129,7,136,25,4,29,0,0,0,456,21,477
Haryana,12 - Theft (Section 379 to 382 IPC),2014,4062,39,4101,2052,35,2087,445,2,447,5,0,5,6564,76,6640
Haryana,12.1 - Auto Theft,2014,2281,0,2281,1095,0,1095,175,0,175,1,0,1,3552,0,3552
Haryana,12.2 - Other Thefts,2014,1781,39,1820,957,35,992,270,2,272,4,0,4,3012,76,3088
Haryana,"13 - Unlawful Assembly (Section 143,144 & 145)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,3316,94,3410,2300,124,2424,752,41,793,69,2,71,6437,261,6698
Haryana,14.1 - Communal,2014,478,0,478,211,0,211,36,0,36,14,0,14,739,0,739
Haryana,14.2 - Industrial,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.3 - Political,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.4 - Caste Conflict,2014,69,3,72,99,16,115,7,4,11,4,0,4,179,23,202
Haryana,14.4.1 - SC/STs Vs. Non-SCs/STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.4.2 - Other Caste Riots,2014,69,3,72,99,16,115,7,4,11,4,0,4,179,23,202
Haryana,14.5 - Agrarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.6 - Students,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.7 - Sectarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.8 - Other Riots,2014,2769,91,2860,1990,108,2098,709,37,746,51,2,53,5519,238,5757
Haryana,15 - Criminal Breach of Trust (Section 406 to 409 IPC),2014,238,0,238,225,8,233,70,4,74,9,1,10,542,13,555
Haryana,16 - Cheating (Section 420 IPC),2014,534,10,544,519,26,545,250,11,261,35,2,37,1338,49,1387
Haryana,"17 - Forgery (Section 465, 468 & 471 IPC)",2014,122,2,124,289,7,296,148,6,154,9,0,9,568,15,583
Haryana,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,25,1,26,12,0,12,5,0,5,0,0,0,42,1,43
Haryana,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,18.2 - Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,25,1,26,12,0,12,5,0,5,0,0,0,42,1,43
Haryana,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,7,1,8,8,0,8,3,0,3,0,0,0,18,1,19
Haryana,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,11,0,11,4,0,4,2,0,2,0,0,0,17,0,17
Haryana,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7
Haryana,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,19 - Arson (Section 435-436 & 438 IPC),2014,77,0,77,81,4,85,16,2,18,2,1,3,176,7,183
Haryana,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,1382,73,1455,1070,102,1172,530,35,565,28,8,36,3010,218,3228
Haryana,20.1 - Grievous Hurt (Section 325 & 326 IPC),2014,1371,72,1443,1066,102,1168,530,35,565,28,8,36,2995,217,3212
Haryana,20.2 - Acid attack (Section 326A IPC),2014,9,1,10,2,0,2,0,0,0,0,0,0,11,1,12
Haryana,20.3 - Attempt to Acid Attack (Section 326B IPC),2014,2,0,2,2,0,2,0,0,0,0,0,0,4,0,4
Haryana,21 - Dowry Deaths (Section 304-B IPC),2014,264,25,289,96,44,140,72,43,115,11,13,24,443,125,568
Haryana,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,1338,5,1343,565,7,572,82,5,87,6,1,7,1991,18,2009
Haryana,22.1 - Sexual Harassment (Section 354A IPC),2014,469,1,470,181,0,181,21,1,22,6,1,7,677,3,680
Haryana,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,181,1,182,59,0,59,4,0,4,0,0,0,244,1,245
Haryana,22.3 - Voyeurism (Section 354C IPC),2014,23,0,23,3,0,3,0,0,0,0,0,0,26,0,26
Haryana,22.4 - Stalking (Section 354D IPC),2014,206,0,206,80,0,80,2,0,2,0,0,0,288,0,288
Haryana,22.5 - Others,2014,459,3,462,242,7,249,55,4,59,0,0,0,756,14,770
Haryana,23 - Insult to the Modesty of Women (Section 509 IPC),2014,70,0,70,20,1,21,3,0,3,0,0,0,93,1,94
Haryana,23.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,23.2 - Places related to work other than Office,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Haryana,23.3 - In Public Transport system,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Haryana,23.4 - in Other Places,2014,68,0,68,20,1,21,3,0,3,0,0,0,91,1,92
Haryana,24 - Cruelty by Husband or his Relatives (Section 498-A IPC),2014,1653,144,1797,1109,232,1341,528,358,886,111,69,180,3401,803,4204
Haryana,25 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,26 - Causing Death by Negligence (Section 304-A IPC),2014,1563,1,1564,1369,2,1371,488,0,488,27,0,27,3447,3,3450
Haryana,26.1 - Deaths due to negligent driving/act,2014,1498,1,1499,1306,0,1306,475,0,475,25,0,25,3304,1,3305
Haryana,26.2 - Deaths due to Other Causes,2014,65,0,65,63,2,65,13,0,13,2,0,2,143,2,145
Haryana,"27 - Offences against State (Section 121, 121A, 122, 123, 124-A IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,27.1 - Sedition (Section 124A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,27.2 - Other offences against State,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,28 - Offences promoting enmity between different groups (Section 153A & 153B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,28.1 - Promoting enmity on ground of religion race and place of Birth (Section 153A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,28.2 - Imputation & assertions prejudicial to national integration (Section 153B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,29 - Extortion (Section 384 - 389 IPC),2014,128,8,136,98,18,116,15,0,15,0,0,0,241,26,267
Haryana,30 - Disclosure of Identity of Victims (Section 228 A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,31 - Incidence of Rash Driving (Section 279 IPC Read with 337 & 338),2014,2511,2,2513,1939,5,1944,602,1,603,46,0,46,5098,8,5106
Haryana,32 - Human Trafficking (Section 370 & 370A IPC),2014,7,3,10,3,2,5,3,0,3,1,0,1,14,5,19
Haryana,33 - Unnatural Offences U/s 377 IPC,2014,78,0,78,30,0,30,6,0,6,0,0,0,114,0,114
Haryana,34 - Other IPC crimes,2014,14681,304,14985,9861,421,10282,3338,202,3540,397,34,431,28277,961,29238
Haryana,35 - Total Cognizable IPC crimes,2014,39282,821,40103,25052,1160,26212,8283,739,9022,775,133,908,73392,2853,76245
Himachal Pradesh,1 - Murder (Section 302 IPC),2014,82,6,88,57,10,67,35,6,41,3,0,3,177,22,199
Himachal Pradesh,2 - Attempt to commit Murder (Section 307 IPC),2014,40,3,43,46,4,50,22,1,23,6,2,8,114,10,124
Himachal Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,5,0,5,4,1,5,3,0,3,0,0,0,12,1,13
Himachal Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5 - Rape (Section 376 IPC),2014,184,5,189,89,6,95,28,1,29,4,0,4,305,12,317
Himachal Pradesh,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.2 - Rape other than Custodial,2014,184,5,189,89,6,95,28,1,29,4,0,4,305,12,317
Himachal Pradesh,5.2.1 - Gang Rape,2014,16,0,16,3,0,3,0,0,0,0,0,0,19,0,19
Himachal Pradesh,5.2.2 - Other Rape,2014,168,5,173,86,6,92,28,1,29,4,0,4,286,12,298
Himachal Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),2014,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4
Himachal Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,75,2,77,26,1,27,4,2,6,0,0,0,105,5,110
Himachal Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,10,0,10,4,0,4,1,0,1,0,0,0,15,0,15
Himachal Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Himachal Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,44,0,44,18,1,19,0,1,1,0,0,0,62,2,64
Himachal Pradesh,7.5 - Other Kidnapping,2014,21,2,23,4,0,4,1,1,2,0,0,0,26,3,29
Himachal Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",2014,7,1,8,4,0,4,0,0,0,0,0,0,11,1,12
Himachal Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,8.2 - Other Dacoity,2014,7,1,8,4,0,4,0,0,0,0,0,0,11,1,12
Himachal Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2014,15,0,15,10,0,10,0,0,0,0,0,0,25,0,25
Himachal Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,307,14,321,205,29,234,70,16,86,9,2,11,591,61,652
Himachal Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,103,2,105,88,2,90,35,2,37,0,0,0,226,6,232
Himachal Pradesh,"11.2 - House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,204,12,216,117,27,144,35,14,49,9,2,11,365,55,420
Himachal Pradesh,12 - Theft (Section 379 to 382 IPC),2014,312,3,315,179,8,187,72,9,81,2,1,3,565,21,586
Himachal Pradesh,12.1 - Auto Theft,2014,64,0,64,44,0,44,9,0,9,0,0,0,117,0,117
Himachal Pradesh,12.2 - Other Thefts,2014,248,3,251,135,8,143,63,9,72,2,1,3,448,21,469
Himachal Pradesh,"13 - Unlawful Assembly (Section 143,144 & 145)",2014,51,0,51,21,2,23,7,0,7,3,0,3,82,2,84
Himachal Pradesh,"14 - Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,810,115,925,711,199,910,413,130,543,88,21,109,2022,465,2487
Himachal Pradesh,14.1 - Communal,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.2 - Industrial,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.3 - Political,2014,7,0,7,15,0,15,5,0,5,2,0,2,29,0,29
Himachal Pradesh,14.4 - Caste Conflict,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.4.1 - SC/STs Vs. Non-SCs/STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.4.2 - Other Caste Riots,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.5 - Agrarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.6 - Students,2014,50,18,68,34,6,40,22,0,22,4,0,4,110,24,134
Himachal Pradesh,14.7 - Sectarian,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.8 - Other Riots,2014,753,97,850,662,193,855,386,130,516,82,21,103,1883,441,2324
Himachal Pradesh,15 - Criminal Breach of Trust (Section 406 to 409 IPC),2014,28,0,28,43,0,43,22,2,24,1,0,1,94,2,96
Himachal Pradesh,16 - Cheating (Section 420 IPC),2014,88,5,93,185,6,191,109,7,116,10,2,12,392,20,412
Himachal Pradesh,"17 - Forgery (Section 465, 468 & 471 IPC)",2014,9,1,10,23,2,25,6,0,6,2,0,2,40,3,43
Himachal Pradesh,"18 - Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
Himachal Pradesh,"18.1 - Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,18.2 - Counterfeiting Government Stamp (Section 255 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,18.3 - Counterfeit currency & Bank notes (Section 489-A to 489-E IPC),2014,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
Himachal Pradesh,18.3.1 - Counterfeiting currency notes or Bank notes (Section 489A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,18.3.2 - Using forged or counterfeit currency/Bank notes (Section 489B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,18.3.3 - Possession of forged or counterfeiting currency / Bank notes (Section 489C IPC),2014,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
Himachal Pradesh,18.3.4 - Make/Possess materials for forging or counterfeiting currency/Bank notes (Section 489D IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,18.3.5 - Make/Use documents resembling currency notes/Bank notes (Section 489 E IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,19 - Arson (Section 435-436 & 438 IPC),2014,25,1,26,30,2,32,21,2,23,3,2,5,79,7,86
Himachal Pradesh,"20 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",2014,326,40,366,305,79,384,170,31,201,22,8,30,823,158,981
Himachal Pradesh,20.1 - Grievous Hurt (Section 325 & 326 IPC),2014,326,40,366,304,79,383,170,31,201,22,8,30,822,158,980
Himachal Pradesh,20.2 - Acid attack (Section 326A IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Himachal Pradesh,20.3 - Attempt to Acid Attack (Section 326B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,21 - Dowry Deaths (Section 304-B IPC),2014,2,1,3,0,0,0,1,1,2,0,0,0,3,2,5
Himachal Pradesh,22 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,263,9,272,249,15,264,94,10,104,25,3,28,631,37,668
Himachal Pradesh,22.1 - Sexual Harassment (Section 354A IPC),2014,77,2,79,76,1,77,21,1,22,6,0,6,180,4,184
Himachal Pradesh,22.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,9,0,9,10,1,11,3,1,4,2,0,2,24,2,26
Himachal Pradesh,22.3 - Voyeurism (Section 354C IPC),2014,1,0,1,1,0,1,1,0,1,0,0,0,3,0,3
Himachal Pradesh,22.4 - Stalking (Section 354D IPC),2014,43,0,43,17,0,17,7,1,8,1,0,1,68,1,69
Himachal Pradesh,22.5 - Others,2014,133,7,140,145,13,158,62,7,69,16,3,19,356,30,386
Himachal Pradesh,23 - Insult to the Modesty of Women (Section 509 IPC),2014,15,1,16,26,2,28,11,1,12,2,1,3,54,5,59
Himachal Pradesh,23.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,23.2 - Places related to work other than Office,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,23.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,23.4 - in Other Places,2014,15,1,16,26,2,28,11,1,12,2,1,3,54,5,59
