area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Assam,2009,74.0000,3.0000,77.0000,77.0000,0.0000,0.0000,3.0000,3.0000,12.0000,3.0000,0.0000,0.0000,3.0000,71.0000,0.0000,0.0000,0.0000,38.0000,3.0000,41.0000,0.0000,3.0000,1.0000,2.0000,38.0000,0.0000,5000.0000
Chandigarh,2010,17.0000,3.0000,20.0000,20.0000,0.0000,0.0000,0.0000,5.0000,4.0000,0.0000,0.0000,0.0000,2.0000,14.0000,1.0000,44200.0000,0.0000,37.0000,5.0000,42.0000,0.0000,9.0000,6.0000,3.0000,33.0000,0.0000,0.0000
Puducherry,2010,21.0000,3.0000,24.0000,24.0000,0.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,25.0000,2.0000,27.0000,1.0000,2.0000,1.0000,1.0000,24.0000,0.0000,0.0000
Mizoram,2001,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,9.0000,0.0000,9.0000,1.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000
Tripura,2001,0.0000,2.0000,2.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,13000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2003,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Nagaland,2004,4.0000,2.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2004,2.0000,2.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Andaman & Nicobar Islands,2005,10.0000,2.0000,12.0000,3.0000,0.0000,0.0000,2.0000,1.0000,3.0000,1.0000,0.0000,0.0000,2.0000,9.0000,0.0000,0.0000,8.3000,3.0000,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
Goa,2005,1.0000,2.0000,3.0000,3.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,2.0000,2.0000,10000.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Meghalaya,2005,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mizoram,2005,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Assam,2006,78.0000,2.0000,80.0000,80.0000,0.0000,0.0000,2.0000,8.0000,19.0000,0.0000,0.0000,0.0000,2.0000,70.0000,0.0000,0.0000,10.0000,30.0000,8.0000,38.0000,0.0000,2.0000,2.0000,0.0000,36.0000,100.0000,24000.0000
Mizoram,2006,1.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,1.0000,8000.0000,50.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Meghalaya,2007,3.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nagaland,2007,9.0000,2.0000,11.0000,11.0000,0.0000,0.0000,0.0000,1.0000,2.0000,1.0000,1.0000,0.0000,0.0000,10.0000,3.0000,8100000.0000,50.0000,2.0000,1.0000,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
West Bengal,2007,4.0000,2.0000,6.0000,6.0000,0.0000,0.0000,2.0000,1.0000,2.0000,1.0000,0.0000,1.0000,0.0000,3.0000,0.0000,0.0000,16.6000,20.0000,1.0000,21.0000,0.0000,13.0000,0.0000,13.0000,8.0000,0.0000,0.0000
Tripura,2008,0.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1.0000,5.0000,0.0000,1.0000,0.0000,1.0000,4.0000,0.0000,0.0000
Andaman & Nicobar Islands,2009,12.0000,2.0000,14.0000,14.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,11.0000,0.0000,0.0000,7.1000,10.0000,1.0000,11.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000
Uttarakhand,2009,19.0000,2.0000,21.0000,7.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,30.0000,7.0000,37.0000,0.0000,1.0000,1.0000,0.0000,36.0000,0.0000,0.0000
Lakshadweep,2001,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000
Manipur,2001,12.0000,1.0000,13.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,11.0000,0.0000,11.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000
Meghalaya,2001,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nagaland,2001,3.0000,1.0000,4.0000,4.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,50.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Daman & Diu,2002,2.0000,1.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mizoram,2002,2.0000,1.0000,3.0000,3.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,3.0000,7.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000
Dadra & Nagar Haveli,2003,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,25000.0000,0.0000,2.0000,1.0000,3.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Lakshadweep,2003,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,1.0000,1.0000,0.0000,2.0000,100.0000,3000.0000
Manipur,2003,16.0000,1.0000,17.0000,17.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,11.0000,3.0000,14.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000
Puducherry,2003,9.0000,1.0000,10.0000,10.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,5.0000,1.0000,6.0000,0.0000,1.0000,0.0000,1.0000,5.0000,0.0000,0.0000
West Bengal,2003,25.0000,1.0000,26.0000,26.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,1.0000,4000.0000,0.0000,24.0000,1.0000,25.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000
Dadra & Nagar Haveli,2004,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,10500.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Goa,2004,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Manipur,2004,14.0000,1.0000,15.0000,15.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12.0000,0.0000,0.0000,14.0000,2.0000,16.0000,0.0000,0.0000,0.0000,0.0000,1.0000,15.0000,0.0000,0.0000
Puducherry,2004,9.0000,1.0000,10.0000,10.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,5.0000,2.0000,7.0000,0.0000,1.0000,0.0000,1.0000,6.0000,0.0000,0.0000
Nagaland,2005,6.0000,1.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2005,4.0000,1.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Goa,2006,16.0000,1.0000,17.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,16.0000,0.0000,0.0000,0.0000,19.0000,0.0000,19.0000,0.0000,1.0000,0.0000,1.0000,18.0000,0.0000,0.0000
Manipur,2006,9.0000,1.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,9.0000,0.0000,0.0000,0.0000,17.0000,0.0000,17.0000,0.0000,0.0000,0.0000,0.0000,17.0000,0.0000,0.0000
Meghalaya,2006,2.0000,1.0000,3.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,3.0000,1.0000,50000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Assam,2007,80.0000,1.0000,81.0000,81.0000,0.0000,0.0000,1.0000,2.0000,19.0000,0.0000,0.0000,0.0000,1.0000,80.0000,0.0000,0.0000,0.0000,38.0000,2.0000,40.0000,0.0000,3.0000,3.0000,1.0000,38.0000,0.0000,15500.0000
Goa,2007,16.0000,1.0000,17.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,16.0000,0.0000,0.0000,0.0000,18.0000,0.0000,18.0000,0.0000,3.0000,0.0000,3.0000,15.0000,0.0000,0.0000
Tripura,2007,4.0000,1.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
Goa,2008,16.0000,1.0000,17.0000,17.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0000,0.0000,0.0000,15.0000,1.0000,16.0000,0.0000,1.0000,0.0000,1.0000,15.0000,0.0000,0.0000
Meghalaya,2008,2.0000,1.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,3321000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tripura,2009,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1.0000,5.0000,0.0000,1.0000,0.0000,1.0000,4.0000,0.0000,0.0000
Goa,2010,11.0000,1.0000,12.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,11.0000,0.0000,0.0000,0.0000,13.0000,0.0000,13.0000,0.0000,1.0000,0.0000,1.0000,12.0000,0.0000,0.0000
Manipur,2010,23.0000,1.0000,24.0000,24.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,1.0000,1.0000,24.0000,1.0000,2257306.0000,0.0000,23.0000,8.0000,24.0000,0.0000,0.0000,0.0000,0.0000,24.0000,0.0000,0.0000
Andaman & Nicobar Islands,2001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Arunachal Pradesh,2001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dadra & Nagar Haveli,2001,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0000,0.0000,4.0000,0.0000,1.0000,0.0000,1.0000,3.0000,0.0000,0.0000
Daman & Diu,2001,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Andaman & Nicobar Islands,2002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
Arunachal Pradesh,2002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Dadra & Nagar Haveli,2002,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,4.0000,0.0000,2.0000,0.0000,2.0000,2.0000,0.0000,0.0000
Lakshadweep,2002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meghalaya,2002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nagaland,2002,4.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Tripura,2002,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
West Bengal,2002,26.0000,0.0000,26.0000,26.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,24.0000,1.0000,25.0000,1.0000,0.0000,0.0000,0.0000,24.0000,0.0000,0.0000
Daman & Diu,2003,3.0000,0.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,66.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meghalaya,2003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mizoram,2003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000
Nagaland,2003,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Arunachal Pradesh,2004,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Daman & Diu,2004,2.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Lakshadweep,2004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meghalaya,2004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mizoram,2004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,7.0000,0.0000,0.0000
West Bengal,2004,25.0000,0.0000,25.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,1.0000,4000.0000,0.0000,25.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000
Arunachal Pradesh,2005,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dadra & Nagar Haveli,2005,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000
Daman & Diu,2005,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Lakshadweep,2005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
West Bengal,2005,25.0000,0.0000,25.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,25.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000
Arunachal Pradesh,2006,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dadra & Nagar Haveli,2006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,1.0000,1.0000,0.0000,2.0000,0.0000,2000.0000
Daman & Diu,2006,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Lakshadweep,2006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nagaland,2006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
West Bengal,2006,25.0000,0.0000,25.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,25.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000
Arunachal Pradesh,2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dadra & Nagar Haveli,2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Daman & Diu,2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Lakshadweep,2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Arunachal Pradesh,2008,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Assam,2008,80.0000,0.0000,80.0000,80.0000,0.0000,0.0000,3.0000,3.0000,16.0000,0.0000,0.0000,0.0000,3.0000,74.0000,0.0000,0.0000,37.0000,3.0000,40.0000,0.0000,2.0000,2.0000,0.0000,38.0000,0.0000,2000.0000,0.0000
Dadra & Nagar Haveli,2008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Daman & Diu,2008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Lakshadweep,2008,2.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000
