area_name,year,group_name,sub_group_name,cd_deaths_reported,cd_no_of_autopsy_conducted,cd_no_of_cases_registered_in_connection_with_deaths,cd_no_of_judicial_enquiry_orderedconducted,cd_no_of_magisterial_enquiry_orderedconducted,cd_no_of_policemen_charge_sheeted,cd_no_of_policemen_convicted
Odisha,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,1,0,0
Punjab,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,,1,2,,
Rajasthan,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,3,,,3,,
Tamil Nadu,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,1,,
Uttar Pradesh,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,5,5,5,,5,16,
West Bengal,2008,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Andhra Pradesh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,2,0,2,0,0
Arunachal Pradesh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Bihar,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,0,1,1,0,0
Chhattisgarh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,1,0,0,0
Gujarat,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,4,3,1,4,0,1,0
Haryana,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,0,6,0
Madhya Pradesh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,9,9,2,6,3,0,0
Maharashtra,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,18,18,1,1,5,0,0
Manipur,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Meghalaya,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,1,0,0
Mizoram,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,,,
Nagaland,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,2,0,2,1,0
Punjab,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,4,4,1,2,2,,
Rajasthan,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,1,0,2,,
Tamil Nadu,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,5,5,1,3,5,,
Uttar Pradesh,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,6,6,6,0,6,4,4
West Bengal,2009,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,2,0,2,0,0
Andhra Pradesh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,4,3,4,2,4,1,0
Arunachal Pradesh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,
Bihar,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Gujarat,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,3,1,2,1,4,0
Himachal Pradesh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,1,1,1,0,0
Karnataka,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Kerala,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,1,0,0
Madhya Pradesh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,1,2,,,
Maharashtra,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,18,18,3,0,0,0,0
Manipur,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Meghalaya,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Nagaland,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,1,0,0,0
Odisha,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,,,2,,
Tamil Nadu,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,1,,
Uttar Pradesh,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,9,9,8,1,8,19,3
West Bengal,2010,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,2,0,2,0,0
