state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Meghalaya,Procuration of Minor Girls,0,4,1,2,1,3,4,0,4,0,0,0
Mizoram,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Procuration of Minor Girls,0,54,0,2,52,32,84,0,81,3,1,2
Punjab,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Procuration of Minor Girls,0,34,0,0,34,44,78,0,76,2,0,2
Sikkim,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Procuration of Minor Girls,41,0,10,13,18,0,18,0,10,8,0,8
Tripura,Procuration of Minor Girls,0,1,0,0,1,7,8,0,8,0,0,0
Uttar Pradesh,Procuration of Minor Girls,0,0,0,0,0,4,4,0,2,2,2,0
Uttarakhand,Procuration of Minor Girls,1,1,0,0,2,3,5,0,5,0,0,0
West Bengal,Procuration of Minor Girls,177,377,0,195,359,398,757,0,723,34,0,34
Total (State),Procuration of Minor Girls,337,1066,86,439,878,1643,2521,6,2201,314,30,284
A&N Islands,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Procuration of Minor Girls,6,0,0,6,0,6,6,0,6,0,0,0
Lakshadweep,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Procuration of Minor Girls,6,0,0,6,0,6,6,0,6,0,0,0
Total (All-India),Procuration of Minor Girls,343,1066,86,445,878,1649,2527,6,2207,314,30,284
Andhra Pradesh,"Prohibition of Child Marriage Act, 2006",30,44,5,10,59,63,122,9,87,26,0,26
Arunachal Pradesh,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Prohibition of Child Marriage Act, 2006",0,1,0,1,0,2,2,0,2,0,0,0
Bihar,"Prohibition of Child Marriage Act, 2006",12,2,0,6,8,14,22,0,22,0,0,0
Chhattisgarh,"Prohibition of Child Marriage Act, 2006",0,1,0,0,1,24,25,0,21,4,3,1
Goa,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,4,4,0,4,0,0,0
Gujarat,"Prohibition of Child Marriage Act, 2006",0,60,0,1,59,610,669,0,620,49,6,43
Haryana,"Prohibition of Child Marriage Act, 2006",0,25,0,0,25,11,36,0,27,9,0,9
Himachal Pradesh,"Prohibition of Child Marriage Act, 2006",0,7,0,4,3,21,24,0,24,0,0,0
Jammu & Kashmir,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"Prohibition of Child Marriage Act, 2006",0,1,0,0,1,0,1,0,1,0,0,0
Karnataka,"Prohibition of Child Marriage Act, 2006",3,74,0,2,75,56,131,0,124,7,0,7
Kerala,"Prohibition of Child Marriage Act, 2006",0,16,0,4,12,19,31,0,29,2,0,2
Madhya Pradesh,"Prohibition of Child Marriage Act, 2006",0,23,0,0,23,55,78,0,72,6,0,6
Maharashtra,"Prohibition of Child Marriage Act, 2006",0,106,0,14,92,541,633,0,611,22,0,22
Manipur,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"Prohibition of Child Marriage Act, 2006",2,0,0,2,0,0,0,0,0,0,0,0
Mizoram,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,6,6,0,6,0,0,0
Punjab,"Prohibition of Child Marriage Act, 2006",1,0,1,0,0,14,14,0,14,0,0,0
Rajasthan,"Prohibition of Child Marriage Act, 2006",0,21,0,0,21,67,88,0,80,8,8,0
Sikkim,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"Prohibition of Child Marriage Act, 2006",0,182,0,75,107,0,107,0,95,12,0,12
Tripura,"Prohibition of Child Marriage Act, 2006",0,5,0,0,5,1,6,0,6,0,0,0
Uttar Pradesh,"Prohibition of Child Marriage Act, 2006",5,25,5,13,12,23,35,0,34,1,1,0
Uttarakhand,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,"Prohibition of Child Marriage Act, 2006",43,68,2,65,44,97,141,0,141,0,0,0
Total (State),"Prohibition of Child Marriage Act, 2006",96,661,13,197,547,1628,2175,9,2020,146,18,128
A&N Islands,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,20,20,0,20,0,0,0
Chandigarh,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,8,8,0,8,0,0,0
D&N Haveli,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"Prohibition of Child Marriage Act, 2006",3,0,0,3,0,4,4,0,4,0,0,0
Lakshadweep,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"Prohibition of Child Marriage Act, 2006",4,1,0,0,5,9,14,0,14,0,0,0
Total (UTs),"Prohibition of Child Marriage Act, 2006",7,1,0,3,5,41,46,0,46,0,0,0
Total (All-India),"Prohibition of Child Marriage Act, 2006",103,662,13,200,552,1669,2221,9,2066,146,18,128
Andhra Pradesh,Rape of Children,258,820,0,462,616,1172,1788,4,1310,474,58,416
Arunachal Pradesh,Rape of Children,12,33,6,15,24,73,97,0,97,0,0,0
Assam,Rape of Children,126,223,17,193,139,175,314,0,233,81,4,77
Bihar,Rape of Children,70,96,3,47,116,349,465,0,402,63,21,42
Chhattisgarh,Rape of Children,0,682,0,0,682,1435,2117,0,1764,353,130,223
Goa,Rape of Children,30,63,0,48,45,151,196,0,190,6,1,5
Gujarat,Rape of Children,17,314,0,29,302,1066,1368,0,1256,112,19,93
Haryana,Rape of Children,0,477,0,9,468,400,868,0,606,262,58,204
Himachal Pradesh,Rape of Children,26,205,2,31,198,234,432,0,348,84,28,56
Jammu & Kashmir,Rape of Children,0,25,0,0,25,46,71,0,47,24,2,22
Jharkhand,Rape of Children,5,10,0,3,12,9,21,0,10,11,4,7
Karnataka,Rape of Children,37,330,3,71,293,427,720,0,605,115,14,101
Kerala,Rape of Children,565,703,30,684,554,1581,2135,0,2086,49,25,24
Madhya Pradesh,Rape of Children,9,2538,0,29,2518,4458,6976,41,5118,1817,574,1243
Maharashtra,Rape of Children,447,1932,5,612,1762,6875,8637,1,8235,401,58,343
Manipur,Rape of Children,25,3,1,25,2,3,5,0,4,1,1,0
Meghalaya,Rape of Children,117,99,17,108,91,130,221,0,211,10,5,5
Mizoram,Rape of Children,18,56,0,30,44,83,127,0,108,19,11,8
Nagaland,Rape of Children,0,3,0,0,3,0,3,0,0,3,3,0
Odisha,Rape of Children,16,479,0,26,469,655,1124,0,1042,82,21,61
Punjab,Rape of Children,134,520,20,232,402,327,729,0,324,405,191,214
Rajasthan,Rape of Children,5,902,0,4,903,1677,2580,0,1888,692,232,460
Sikkim,Rape of Children,7,43,0,0,50,34,84,0,22,62,45,17
Tamil Nadu,Rape of Children,244,505,7,319,423,580,1003,0,812,191,33,158
Tripura,Rape of Children,5,68,1,18,54,78,132,0,87,45,10,35
Uttar Pradesh,Rape of Children,121,2143,258,305,1701,3210,4911,0,4319,592,334,258
Uttarakhand,Rape of Children,3,39,0,4,38,56,94,0,45,49,29,20
West Bengal,Rape of Children,195,354,13,159,377,304,681,0,590,91,13,78
Total (State),Rape of Children,2492,13665,383,3463,12311,25588,37899,46,31759,6094,1924,4170
A&N Islands,Rape of Children,13,29,0,1,41,85,126,0,107,19,2,17
Chandigarh,Rape of Children,2,27,0,15,14,30,44,0,18,26,16,10
D&N Haveli,Rape of Children,0,4,0,2,2,2,4,0,4,0,0,0
Daman & Diu,Rape of Children,0,4,0,0,4,10,14,0,14,0,0,0
Delhi UT,Rape of Children,127,804,3,98,830,1596,2426,0,2052,374,120,254
Lakshadweep,Rape of Children,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Rape of Children,0,14,0,7,7,51,58,0,57,1,0,1
Total (UTs),Rape of Children,142,882,3,123,898,1774,2672,0,2252,420,138,282
Total (All-India),Rape of Children,2634,14547,386,3586,13209,27362,40571,46,34011,6514,2062,4452
Andhra Pradesh,Selling of Girls for Prostitution,0,5,0,3,2,20,22,0,21,1,0,1
Arunachal Pradesh,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Selling of Girls for Prostitution,1,0,0,1,0,3,3,0,3,0,0,0
Bihar,Selling of Girls for Prostitution,5,6,0,2,9,10,19,0,19,0,0,0
Chhattisgarh,Selling of Girls for Prostitution,0,0,0,0,0,4,4,0,4,0,0,0
Goa,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Selling of Girls for Prostitution,0,2,0,0,2,1,3,0,3,0,0,0
Haryana,Selling of Girls for Prostitution,0,1,0,0,1,0,1,0,0,1,1,0
Himachal Pradesh,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Selling of Girls for Prostitution,0,4,0,0,4,0,4,0,0,4,0,4
Karnataka,Selling of Girls for Prostitution,0,3,0,3,0,0,0,0,0,0,0,0
Kerala,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Selling of Girls for Prostitution,0,6,0,0,6,52,58,0,34,24,5,19
Maharashtra,Selling of Girls for Prostitution,5,29,0,11,23,48,71,0,65,6,0,6
Manipur,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Selling of Girls for Prostitution,0,0,0,0,0,3,3,0,3,0,0,0
Rajasthan,Selling of Girls for Prostitution,0,0,0,0,0,10,10,0,10,0,0,0
Sikkim,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Selling of Girls for Prostitution,5,0,3,0,2,39,41,0,35,6,6,0
Uttarakhand,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Selling of Girls for Prostitution,193,78,3,168,100,204,304,0,292,12,0,12
Total (State),Selling of Girls for Prostitution,209,134,6,188,149,394,543,0,489,54,12,42
A&N Islands,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Selling of Girls for Prostitution,7,0,0,7,0,7,7,0,7,0,0,0
Lakshadweep,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Selling of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Selling of Girls for Prostitution,7,0,0,7,0,7,7,0,7,0,0,0
Total (All-India),Selling of Girls for Prostitution,216,134,6,195,149,401,550,0,496,54,12,42
Andhra Pradesh,Total Crimes against Children,868,2838,109,1244,2353,3584,5937,167,4057,1713,167,1546
Arunachal Pradesh,Total Crimes against Children,20,72,12,27,53,155,208,0,208,0,0,0
Assam,Total Crimes against Children,312,514,154,327,345,458,803,0,564,239,14,225
Bihar,Total Crimes against Children,2106,2025,40,1631,2460,6181,8641,9,7752,880,177,703
Chhattisgarh,Total Crimes against Children,19,2637,0,53,2603,4198,6801,24,5221,1556,595,961
Goa,Total Crimes against Children,93,222,5,187,123,401,524,3,507,14,5,9
Gujarat,Total Crimes against Children,118,2185,5,250,2048,7900,9948,11,9154,783,73,710
Haryana,Total Crimes against Children,17,1357,0,43,1331,1182,2513,0,1827,686,147,539
Himachal Pradesh,Total Crimes against Children,76,397,5,76,392,668,1060,4,899,157,42,115
Jammu & Kashmir,Total Crimes against Children,0,88,0,0,88,227,315,6,152,157,2,155
Jharkhand,Total Crimes against Children,35,89,0,25,99,64,163,0,90,73,13,60
Karnataka,Total Crimes against Children,129,1087,40,214,962,1085,2047,0,1716,331,29,302
Kerala,Total Crimes against Children,856,2008,30,1174,1660,4178,5838,0,5445,393,96,297
Madhya Pradesh,Total Crimes against Children,38,8661,2,94,8603,16171,24774,737,18539,5498,1867,3631
Maharashtra,Total Crimes against Children,1764,6805,33,2521,6015,24651,30666,14,29126,1526,159,1367
Manipur,Total Crimes against Children,105,10,11,102,2,5,7,0,6,1,1,0
Meghalaya,Total Crimes against Children,136,133,18,132,119,165,284,0,263,21,8,13
Mizoram,Total Crimes against Children,20,74,2,36,56,104,160,0,117,43,34,9
Nagaland,Total Crimes against Children,1,12,0,8,5,3,8,0,0,8,8,0
Odisha,Total Crimes against Children,29,1005,0,54,980,1335,2315,0,2075,240,34,206
Punjab,Total Crimes against Children,529,1149,88,748,842,1295,2137,0,1399,738,314,424
Rajasthan,Total Crimes against Children,53,1961,0,62,1952,3945,5897,4,4621,1272,476,796
Sikkim,Total Crimes against Children,8,68,0,0,76,51,127,0,28,99,68,31
Tamil Nadu,Total Crimes against Children,864,1475,139,993,1207,1674,2881,0,2117,764,189,575
Tripura,Total Crimes against Children,12,150,1,28,133,128,261,10,189,62,13,49
Uttar Pradesh,Total Crimes against Children,1824,19286,4949,3754,12407,17980,30387,5,26941,3441,1943,1498
Uttarakhand,Total Crimes against Children,6,173,0,24,155,240,395,0,245,150,73,77
West Bengal,Total Crimes against Children,1148,1800,120,1086,1742,2206,3948,48,3490,410,25,385
Total (State),Total Crimes against Children,11186,58281,5763,14893,48811,100234,149045,1042,126748,21255,6572,14683
A&N Islands,Total Crimes against Children,37,51,0,5,83,284,367,0,338,29,6,23
Chandigarh,Total Crimes against Children,13,109,0,43,79,126,205,0,135,70,29,41
D&N Haveli,Total Crimes against Children,3,6,0,3,6,56,62,0,46,16,3,13
Daman & Diu,Total Crimes against Children,3,5,0,3,5,19,24,0,17,7,0,7
Delhi UT,Total Crimes against Children,519,2037,60,570,1926,4763,6689,0,5669,1020,360,660
Lakshadweep,Total Crimes against Children,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Total Crimes against Children,10,22,0,9,23,132,155,0,151,4,0,4
Total (UTs),Total Crimes against Children,585,2230,60,633,2122,5380,7502,0,6356,1146,398,748
Total (All-India),Total Crimes against Children,11771,60511,5823,15526,50933,105614,156547,1042,133104,22401,6970,15431
